COdigo Baremo;Descricao;VOZ;Tipo veIculo (Recurso);Escopo do problema (Ambito);Elemento Problema (Elemento);PrestaCAo;PrestaCAo_NIvel de TensAo;COdigo ACAo;Descricao acao;UN de Medida
5000003281;Reapertos e ajustes em estrutura, UC, equipamento de MT e BT (Manutenção elétrica);ABR238;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0049;WB0049_BT;252;REAPERTOS E APARUSACOES EM ESTRUTURA, UC, EQUIPAMENTO DE MT E BT;UN
3000019846;Estrada de acesso ou abertura/limpeza de faixa de servidão para terreno sem aclive e/ou sem pedras (Infraestrutura);TBR122;AT;Linha AT;AT - LDAT - Rede aErea nua;WB0615;WB0615_AT;169;ESTRADA DE ACESSO OU ABERTURA/LIMPEZA DE FAIXA DE SERVIDAO PARA TERRENO SEM ACLIVE E/OU SEM PEDRAS;m2
5000000494;Estrada de acesso ou abertura/limpeza de faixa de servidão para terreno sem aclive e/ou sem pedras (Infraestrutura);TBR122;AT;Linha AT;AT - LDAT - Rede aErea nua;WB0615;WB0615_AT;169;ESTRADA DE ACESSO OU ABERTURA/LIMPEZA DE FAIXA DE SERVIDAO PARA TERRENO SEM ACLIVE E/OU SEM PEDRAS;m2
5000000510;Estrada de acesso ou abertura/limpeza de faixa de servidão para terreno sem aclive e/ou sem pedras (Infraestrutura);TBR122;AT;Linha AT;AT - LDAT - Rede aErea nua;WB0615;WB0615_AT;169;ESTRADA DE ACESSO OU ABERTURA/LIMPEZA DE FAIXA DE SERVIDAO PARA TERRENO SEM ACLIVE E/OU SEM PEDRAS;m2
3000019825;Pequenas execuções em elementos de proteção OPEX (Proteção elétrica);AHO242;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0172;WB0172_BT;235;PEQUENAS EXECUCÔES EM ELEMENTOS DE PROTECAO OPEX;UN
5000001212;Pequenas execuções em elementos de proteção OPEX (Proteção elétrica);AHO242;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0172;WB0172_BT;235;PEQUENAS EXECUCÔES EM ELEMENTOS DE PROTECAO OPEX;UN
5000001225;Pequenas execuções em elementos de proteção OPEX (Proteção elétrica);AHO242;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0172;WB0172_BT;235;PEQUENAS EXECUCÔES EM ELEMENTOS DE PROTECAO OPEX;UN
3000008507;Instalação de defensas em postes de distribuição ou transmissão (Infraestrutura / Segurança);ABR102;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0002;WB0002_BT;185;Instalacao de Defensas em postes de distribuicao ou transmissao;UN
5000002908;Instalação de disjuntor termomagnético trifásico de 50A até 100A em serviço de substituição (Proteção elétrica);FBR116;BT;Ramal BT;BT - Ramal Simples;WB0255;WB0255_BT;186;INSTALACAO DE DISJUNTOR TERMOMAGNETICO TRIFASICO DE 50A ATE 100A EM SERVICO DE SUBSTITUICAO;UN
5000003379;Instalação de um isolador de pino ou cadeia com linha viva em serviço de substituição (Rede elétrica MT);ABR509;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0690;WB0690_MT;201;INSTALACAO DE UM ISOLADOR DE PINO OU CADEIA COM LINHA VIVA EM SERVICO DE SUBSTITUICAO;CJT
5000003383;Instalação em substituição de um conjunto de fusíveis BT (Proteção elétrica);CBR210;BT;Rede BT;BT - LBT - Rede AErea Nua;WB1097;WB1097_BT;214;INSTALACAO EM SUBSTITUICAO DE UM CONJUNTO DE FUSIVEIS BT;CJT
3000021562;Instalação em substituição de estribos e/ou reajuste de conexões com linha viva (Rede elétrica MT);ABR117;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0662;WB0662_MT;213;INSTALACAO EM SUBSTITUICAO DE ESTRIBOS E/OU REAJUSTE DE CONEXOES C/ LINHA VIVA;CJT
5000002762;Instalação em substituição de estribos e/ou reajuste de conexões com linha viva (Rede elétrica MT);ABR117;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0662;WB0662_MT;213;INSTALACAO EM SUBSTITUICAO DE ESTRIBOS E/OU REAJUSTE DE CONEXOES C/ LINHA VIVA;CJT
3000019552;Instalação da estrutura e aparelhagem para um transformador em um poste (Rede elétrica MT/BT);FHO107;MT;TransformaCAo - MT;MT - Transformadores;WB0314;WB0314_MT;200;INSTALACAO DA ESTRUTURA E APARELHAGEM PARA UM TRANSFORMADOR EM UM POSTE;UN
3000020049;Instalação da estrutura e aparelhagem para um transformador em um poste (Rede elétrica MT/BT);FHO107;MT;TransformaCAo - MT;MT - Transformadores;WB0314;WB0314_MT;200;INSTALACAO DA ESTRUTURA E APARELHAGEM PARA UM TRANSFORMADOR EM UM POSTE;UN
5000003352;Instalação da estrutura e aparelhagem para um transformador em um poste (Rede elétrica MT/BT);FHO107;MT;TransformaCAo - MT;MT - Transformadores;WB0314;WB0314_MT;200;INSTALACAO DA ESTRUTURA E APARELHAGEM PARA UM TRANSFORMADOR EM UM POSTE;UN
5000003367;Instalação de transformador subterrâneo ou em superfície (Rede elétrica / Transformadores);FBR201;MT;TransformaCAo - MT;MT - Transformadores;WB0269;WB0269_MT;199;INSTALACAO DE TRANSFORMADOR SUBTERRANEO OU EM SUPERFICIE;UN
3000019351;Inspeção termográfica em linhas de média e baixa tensão com aporte de equipamento (Inspeção);AHO229;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0161;WB0161_BT;172;INSPECAO TERMOGRAFICA EM LINHAS DE MEDIA E BAIXA TENSAO COM APORTE DE EQUIPAMENTO;PEC
3000008445;Inspeção visual em estrutura de MT/BT (Inspeção);AHO255;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0176;WB0176_BT;176;INSPECAO VISUAL EM ESTRUTURA DE MT/BT;UN
3000019538;Inspeção de equipamentos aéreos (Inspeção);AHO233;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0165;WB0165_MT;171;INSPECAO DE EQUIPAMENTOS AEREOS;UN
3000019352;Inspeção termográfica em linhas de média e baixa tensão sem aporte de equipamento (Inspeção);AHO228;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0160;WB0160_BT;173;INSPECAO TERMOGRAFICA EM LINHAS DE MEDIA E BAIXA TENSAO SEM APORTE DE EQUIPAMENTO;PEC
3000019361;Inspeção visual de rede BT (Inspeção);AHO231;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0163;WB0163_BT;174;INSPECAO VISUAL DE REDE  BT;km
3000019362;Inspeção visual de rede MT (Inspeção);AHO232;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0164;WB0164_MT;175;INSPECAO VISUAL DE REDE MT;km
3000019458;Instalação de um seccionador aéreo unipolar lâminas, fusíveis, chave seccionadora(Proteção elétrica);AHO218;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0150;WB0150_MT;205;INSTALACAO DE UM SECIONADOR AEREO UNIPOLAR (LAMINAS, FUSIVEIS, CHAVE SECCIONADORA);UN
3000020127;Instalação de um seccionador aéreo unipolar lâminas, fusíveis, chave seccionadora(Proteção elétrica);AHO218;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0150;WB0150_MT;205;INSTALACAO DE UM SECIONADOR AEREO UNIPOLAR (LAMINAS, FUSIVEIS, CHAVE SECCIONADORA);UN
5000002777;Instalar alças ou fixação de encabeçamento em MT e BT com linha viva (Rede elétrica MT/BT);ABR810;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0750;WB0750_MT;218;INSTALAR ALCAS OU FIXACAO DE ENCABECAMENTO EM MT E BT C/ LINHA VIVA;CJT
5000003381;Instalar alças ou fixação de encabeçamento em MT e BT com linha viva (Rede elétrica MT/BT);ABR810;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0750;WB0750_MT;218;INSTALAR ALCAS OU FIXACAO DE ENCABECAMENTO EM MT E BT C/ LINHA VIVA;CJT
3000019453;Instalar condutores de 10 mm² a 50 mm² cobre ou seu equivalente em alumínio (Rede elétrica BT);AHO201;BT;Rede BT;BT - LBT - Cabo aEreo;WB0135;WB0135_BT;220;INSTALAR CONDUTORES DE 10 MM2 A 50 MM2 COBRE OU SEU EQUIVALENTE EM ALUMINIO.;m
5000000369;Instalar condutores de 10 mm² a 50 mm² cobre ou seu equivalente em alumínio (Rede elétrica BT);AHO201;BT;Rede BT;BT - LBT - Cabo aEreo;WB0135;WB0135_BT;220;INSTALAR CONDUTORES DE 10 MM2 A 50 MM2 COBRE OU SEU EQUIVALENTE EM ALUMINIO.;m
3000019441;Instalação de condutor pré-reunido de baixa tensão (PR BT) (Rede elétrica BT);AHO243;BT;Rede BT;BT - LBT - Cabo aEreo;WB0173;WB0173_BT;182;INSTALACAO DE CONDUTOR PRE REUNIDO DE BAIXA TENSAO (PR BT);m
5000000383;Instalação de condutor pré-reunido de baixa tensão (PR BT) (Rede elétrica BT);AHO243;BT;Rede BT;BT - LBT - Cabo aEreo;WB0173;WB0173_BT;182;INSTALACAO DE CONDUTOR PRE REUNIDO DE BAIXA TENSAO (PR BT);m
595178;Instalação de cruzeta simples ou dupla com encabeçamento com linha viva (Rede elétrica MT);AHO814;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0782;WB0782_MT;180;INSTALACAO DE  CRUZETA SIMPLES  OU DUPLA COM ENCABECAMENTO C/ LINHA VIVA;UN
3000019564;Instalação de cruzeta simples ou dupla com encabeçamento com linha viva (Rede elétrica MT);AHO814;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0782;WB0782_MT;180;INSTALACAO DE  CRUZETA SIMPLES  OU DUPLA COM ENCABECAMENTO C/ LINHA VIVA;UN
3000021555;Instalação de uma emenda em BT cabos (Rede elétrica BT);ABR220;BT;Rede BT;BT - LBT - Cabo aEreo;WB0031;WB0031_BT;208;INSTALACAO DE UMA EMENDA EM BT (CABOS);UN
3000021598;Instalação de uma emenda em MT cabos (Rede elétrica MT);ABR217;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0028;WB0028_MT;210;INSTALACAO DE UMA EMENDA EM MT (CABOS);UN
5000003103;Instalação de uma emenda em MT cabos (Rede elétrica MT);ABR217;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0028;WB0028_MT;210;INSTALACAO DE UMA EMENDA EM MT (CABOS);UN
3000008027;Instalação de cobertas de proteção em vãos de rede (Segurança);ABR119;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0666;WB0666_MT;181;INSTALACAO DE COBERTAS DE PROTECAO EM VAOS DE REDE;UN
